Subject_ID	subject_id	query_id	ensembl_gene_id	external_gene_name	prefix
XM_021475917	XM_021475917.1	XM_039646985.1	ENSDARG00000075108	TMCO3	XM
XM_021475917	XM_021475917.1	XM_039646986.1	ENSDARG00000075108	TMCO3	XM
NM_001077323	NM_001077323.1	XM_039646987.1	ENSDARG00000068261	pros1	NM
NM_001077323	NM_001077323.1	XM_039646988.1	ENSDARG00000068261	pros1	NM
NM_199978	NM_199978.1	XM_039646989.1	ENSDARG00000007804	gas6	NM
NM_001034181	NM_001034181.2	XM_039646990.1	ENSDARG00000058803	grk1a	NM
NM_201462	NM_201462.3	XM_039646991.1	ENSDARG00000088581	f10	NM
XM_021477941	XM_021477941.1	XM_039646992.1	ENSDARG00000091254	NA	XM
NM_173228	NM_173228.1	XM_039646993.1	ENSDARG00000075827	f7i	NM
NM_199702	NM_199702.1	XM_039646994.1	NA	NA	NM
XM_005168000	XM_005168000.4	XM_039646995.1	ENSDARG00000013802	pcid2	XM
NM_001326520	NM_001326520.1	XM_039646996.1	ENSDARG00000076900	prozb	NM
NM_001326520	NM_001326520.1	XM_039646997.1	ENSDARG00000076900	prozb	NM
XM_005167988	XM_005167988.4	XM_039646998.1	ENSDARG00000016304	tfdp1b	XM
XM_005167988	XM_005167988.4	XM_039646999.1	ENSDARG00000016304	tfdp1b	XM
NM_213402	NM_213402.1	XM_039647000.1	ENSDARG00000029936	grtp1a	NM
NM_001006033	NM_001006033.1	XM_039647001.1	ENSDARG00000041589	adprhl1	NM
NM_001002156	NM_001002156.1	XM_039647003.1	ENSDARG00000041592	dcun1d2b	NM
NM_001002156	NM_001002156.1	XM_039647005.1	ENSDARG00000041592	dcun1d2b	NM
NM_001002156	NM_001002156.1	XM_039647006.1	ENSDARG00000041592	dcun1d2b	NM
NM_001002156	NM_001002156.1	XM_039647007.1	ENSDARG00000041592	dcun1d2b	NM
NM_131577	NM_131577.1	XM_039647008.1	ENSDARG00000006791	bmal1a	NM
NM_198909	NM_198909.1	XM_039647009.1	ENSDARG00000101631	etfa	NM
NM_001020751	NM_001020751.1	XM_039647010.1	ENSDARG00000013004	tdg.1	NM
NM_001020751	NM_001020751.1	XM_039647011.1	ENSDARG00000013004	tdg.1	NM
NM_001020751	NM_001020751.1	XM_039647012.1	ENSDARG00000013004	tdg.1	NM
NM_200118	NM_200118.1	XM_039647013.1	ENSDARG00000116944	poc1b	NM
NM_200118	NM_200118.1	XM_039647014.1	ENSDARG00000116944	poc1b	NM
XM_017355915	XM_017355915.1	XM_039647015.1	NA	NA	XM
NM_200118	NM_200118.1	XM_039647016.1	ENSDARG00000116944	poc1b	NM
NM_001024162	NM_001024162.1	XM_039647017.1	ENSDARG00000103747	cav1	NM
NM_001002150	NM_001002150.1	XM_039647018.1	ENSDARG00000052000	cav2	NM
XM_017351655	XM_017351655.2	XM_039647019.1	ENSDARG00000103924	zgc:154055	XM
XM_021470723	XM_021470723.1	XM_039647020.1	ENSDARG00000079374	NA	XM
XM_009298130	XM_009298130.3	XM_039647021.1	ENSDARG00000079374	NA	XM
XM_021470725	XM_021470725.1	XM_039647022.1	ENSDARG00000079374	NA	XM
XM_021470727	XM_021470727.1	XM_039647023.1	ENSDARG00000079374	NA	XM
XM_021470728	XM_021470728.1	XM_039647024.1	ENSDARG00000079374	NA	XM
XM_021470732	XM_021470732.1	XM_039647025.1	ENSDARG00000079374	NA	XM
XM_021470723	XM_021470723.1	XM_039647026.1	ENSDARG00000079374	NA	XM
XM_021470723	XM_021470723.1	XM_039647027.1	ENSDARG00000079374	NA	XM
XM_017354170	XM_017354170.2	XM_039647028.1	ENSDARG00000079374	NA	XM
NM_001111185	NM_001111185.1	XM_039647029.1	ENSDARG00000057844	zgc:171470	NM
XM_009298135	XM_009298135.3	XM_039647030.1	ENSDARG00000079374	NA	XM
XM_021470723	XM_021470723.1	XM_039647031.1	ENSDARG00000079374	NA	XM
XM_021470723	XM_021470723.1	XM_039647032.1	ENSDARG00000079374	NA	XM
XM_021470723	XM_021470723.1	XM_039647033.1	ENSDARG00000079374	NA	XM
XM_021470727	XM_021470727.1	XM_039647034.1	ENSDARG00000079374	NA	XM
XM_009298141	XM_009298141.3	XM_039647035.1	ENSDARG00000079374	NA	XM
XM_009298130	XM_009298130.3	XM_039647036.1	ENSDARG00000079374	NA	XM
XM_021470663	XM_021470663.1	XM_039647037.1	ENSDARG00000012355	GALNT8	XM
NM_001013459	NM_001013459.2	XM_039647038.1	ENSDARG00000070723	ndufa9a	NM
XM_021470676	XM_021470676.1	XM_039647039.1	ENSDARG00000079783	NA	XM
XM_021470676	XM_021470676.1	XM_039647040.1	ENSDARG00000079783	NA	XM
XM_017355904	XM_017355904.2	XM_039647041.1	ENSDARG00000086166	NA	XM
NM_173276	NM_173276.1	XM_039647042.1	ENSDARG00000039133	lamb4	NM
NM_173276	NM_173276.1	XM_039647043.1	ENSDARG00000039133	lamb4	NM
NM_001110032	NM_001110032.1	XM_039647045.1	ENSDARG00000062142	stoml1	NM
XM_021470542	XM_021470542.1	XM_039647046.1	ENSDARG00000045799	NA	XM
XM_005174361	XM_005174361.4	XM_039647047.1	NA	NA	XM
XM_009298158	XM_009298158.3	XM_039647048.1	ENSDARG00000040803	lactb	XM
NM_001020593	NM_001020593.1	XM_039647049.1	ENSDARG00000040803	lactb	NM
NM_001293168	NM_001293168.1	XM_039647050.1	ENSDARG00000087402	tpm1	NM
XM_005174375	XM_005174375.4	XM_039647051.1	ENSDARG00000087402	tpm1	XM
NM_001293168	NM_001293168.1	XM_039647052.1	ENSDARG00000087402	tpm1	NM
NM_001293168	NM_001293168.1	XM_039647053.1	ENSDARG00000087402	tpm1	NM
XM_005174375	XM_005174375.4	XM_039647054.1	ENSDARG00000087402	tpm1	XM
NM_200934	NM_200934.3	XM_039647055.1	ENSDARG00000087402	tpm1	NM
XM_005174379	XM_005174379.4	XM_039647056.1	ENSDARG00000087402	tpm1	XM
XM_005174379	XM_005174379.4	XM_039647057.1	ENSDARG00000087402	tpm1	XM
XM_005174379	XM_005174379.4	XM_039647058.1	ENSDARG00000087402	tpm1	XM
XM_009298155	XM_009298155.3	XM_039647059.1	ENSDARG00000087402	tpm1	XM
NM_001293168	NM_001293168.1	XM_039647060.1	ENSDARG00000087402	tpm1	NM
XM_005174381	XM_005174381.4	XM_039647061.1	ENSDARG00000087402	tpm1	XM
NM_001293168	NM_001293168.1	XM_039647062.1	ENSDARG00000087402	tpm1	NM
XM_002664514	XM_002664514.6	XM_039647063.1	ENSDARG00000096941	NA	XM
XM_021470466	XM_021470466.1	XM_039647064.1	ENSDARG00000087402	tpm1	XM
XM_021470466	XM_021470466.1	XM_039647065.1	ENSDARG00000087402	tpm1	XM
XM_005174381	XM_005174381.4	XM_039647066.1	ENSDARG00000087402	tpm1	XM
NM_001102629	NM_001102629.2	XM_039647067.1	ENSDARG00000087402	tpm1	NM
XM_005174375	XM_005174375.4	XM_039647068.1	ENSDARG00000087402	tpm1	XM
NM_200158	NM_200158.1	XM_039647069.1	NA	NA	NM
NM_199600	NM_199600.1	XM_039647070.1	ENSDARG00000043986	setd6	NM
XM_002666907	XM_002666907.5	XM_039647071.1	ENSDARG00000078962	DUOXA2	XM
NM_001017765	NM_001017765.1	XM_039647072.1	ENSDARG00000024229	ubl7a	NM
XM_005170718	XM_005170718.4	XM_039647073.1	NA	NA	XM
XM_001338175	XM_001338175.7	XM_039647074.1	ENSDARG00000062781	NA	XM
XM_005157358	XM_005157358.4	XM_039647075.1	ENSDARG00000059244	arfip2a	XM
NM_001017570	NM_001017570.1	XM_039647076.1	ENSDARG00000112535	cart2	NM
XM_001337978	XM_001337978.6	XM_039647077.1	ENSDARG00000022045	NA	XM
XM_005163017	XM_005163017.2	XM_039647078.1	ENSDARG00000045804	abhd2b	XM
NM_205690	NM_205690.2	XM_039647079.1	ENSDARG00000109856	rlbp1b	NM
XM_001923369	XM_001923369.6	XM_039647085.1	ENSDARG00000100426	FAM167B	XM
NM_212969	NM_212969.1	XM_039647087.1	ENSDARG00000036471	dand5	NM
NM_001328342	NM_001328342.1	XM_039647089.1	ENSDARG00000006225	ddx39aa	NM
NM_001080637	NM_001080637.2	XM_039647090.1	ENSDARG00000013667	tbck	NM
XM_005160116	XM_005160116.2	XM_039647092.1	ENSDARG00000052512	tsga10	XM
XM_021476837	XM_021476837.1	XM_039647095.1	NA	NA	XM
NM_201296	NM_201296.1	XM_039647096.1	ENSDARG00000059259	pabpc4	NM
XM_005160021	XM_005160021.4	XM_039647097.1	ENSDARG00000075521	CPZ	XM
XM_017355880	XM_017355880.2	XM_039647100.1	ENSDARG00000092022	NA	XM
NM_001013269	NM_001013269.3	XM_039647101.1	ENSDARG00000117078	tlr3	NM
NM_201296	NM_201296.1	XM_039647102.1	ENSDARG00000059259	pabpc4	NM
NM_001083851	NM_001083851.1	XM_039647103.1	ENSDARG00000061504	kdm4c	NM
NM_001089526	NM_001089526.1	XM_039647105.1	ENSDARG00000117177	fgfbp2b	NM
XM_001920021	XM_001920021.5	XM_039647106.1	ENSDARG00000074812	NA	XM
NM_201296	NM_201296.1	XM_039647109.1	ENSDARG00000059259	pabpc4	NM
NM_131242	NM_131242.1	XM_039647111.1	ENSDARG00000012694	c3a.1	NM
NM_131242	NM_131242.1	XM_039647112.1	ENSDARG00000012694	c3a.1	NM
NM_001008582	NM_001008582.4	XM_039647113.1	ENSDARG00000043719	c3a.6	NM
XM_003197773	XM_003197773.5	XM_039647114.1	ENSDARG00000088019	NA	XM
XM_003197773	XM_003197773.5	XM_039647115.1	ENSDARG00000088019	NA	XM
NM_201296	NM_201296.1	XM_039647116.1	ENSDARG00000059259	pabpc4	NM
XM_003197773	XM_003197773.5	XM_039647117.1	ENSDARG00000088019	NA	XM
XM_003197773	XM_003197773.5	XM_039647118.1	ENSDARG00000088019	NA	XM
XR_002459135	XR_002459135.1	XM_039647119.1	NA	NA	XR
NM_001243045	NM_001243045.1	XM_039647122.1	ENSDARG00000002084	lamb2	NM
XR_002459135	XR_002459135.1	XM_039647123.1	NA	NA	XR
NM_001025519	NM_001025519.2	XM_039647125.1	ENSDARG00000051793	zgc:113426	NM
NM_001111165	NM_001111165.1	XM_039647126.1	ENSDARG00000077248	zgc:171459	NM
XM_009297909	XM_009297909.1	XM_039647127.1	ENSDARG00000007788	atp2b1b	XM
XM_009298000	XM_009298000.3	XM_039647128.1	ENSDARG00000051795	NA	XM
XM_009297890	XM_009297890.2	XM_039647129.1	ENSDARG00000008019	mxg	XM
XM_009297890	XM_009297890.2	XM_039647130.1	ENSDARG00000008019	mxg	XM
XR_002459135	XR_002459135.1	XM_039647131.1	NA	NA	XR
XM_684746	XM_684746.8	XM_039647132.1	ENSDARG00000063732	NA	XM
XM_021469441	XM_021469441.1	XM_039647133.1	ENSDARG00000071604	NA	XM
XM_005173997	XM_005173997.4	XM_039647134.1	ENSDARG00000093402	NA	XM
XM_005173997	XM_005173997.4	XM_039647135.1	ENSDARG00000093402	NA	XM
XM_021469441	XM_021469441.1	XM_039647136.1	ENSDARG00000071604	NA	XM
NM_198875	NM_198875.2	XM_039647137.1	ENSDARG00000008732	zgc:66479	NM
NM_198875	NM_198875.2	XM_039647138.1	ENSDARG00000008732	zgc:66479	NM
XM_005168402	XM_005168402.4	XM_039647142.1	ENSDARG00000078503	NA	XM
NM_001145782	NM_001145782.1	XM_039647144.1	ENSDARG00000031678	col5a2a	NM
NM_001007182	NM_001007182.3	XM_039647145.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647146.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647147.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647148.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647149.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647150.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647151.1	ENSDARG00000001733	gulp1a	NM
XM_005168402	XM_005168402.4	XM_039647152.1	ENSDARG00000078503	NA	XM
NM_001007182	NM_001007182.3	XM_039647153.1	ENSDARG00000001733	gulp1a	NM
NM_001007182	NM_001007182.3	XM_039647154.1	ENSDARG00000001733	gulp1a	NM
NM_131311	NM_131311.2	XM_039647156.1	ENSDARG00000079964	dlx2a	NM
XM_005168402	XM_005168402.4	XM_039647157.1	ENSDARG00000078503	NA	XM
XM_002663310	XM_002663310.6	XM_039647158.1	ENSDARG00000077165	KCNJ3	XM
NM_200256	NM_200256.1	XM_039647159.1	ENSDARG00000089791	slc25a32a	NM
NM_200256	NM_200256.1	XM_039647160.1	ENSDARG00000089791	slc25a32a	NM
NM_200256	NM_200256.1	XM_039647161.1	ENSDARG00000089791	slc25a32a	NM
NM_200256	NM_200256.1	XM_039647162.1	ENSDARG00000089791	slc25a32a	NM
NM_200256	NM_200256.1	XM_039647163.1	ENSDARG00000089791	slc25a32a	NM
XM_009295255	XM_009295255.3	XM_039647164.1	ENSDARG00000078503	NA	XM
NM_131207	NM_131207.1	XM_039647165.1	ENSDARG00000111635	lhx1b	NM
XM_005168771	XM_005168771.4	XM_039647167.1	ENSDARG00000044175	oxtrb	XM
XM_005172513	XM_005172513.4	XM_039647168.1	ENSDARG00000059263	hoxd12a	XM
XM_009304450	XM_009304450.3	XM_039647169.1	ENSDARG00000104119	KALRN	XM
NM_001111185	NM_001111185.1	XM_039647170.1	ENSDARG00000057844	zgc:171470	NM
XM_017357741	XM_017357741.2	XM_039647171.1	ENSDARG00000104119	KALRN	XM
XM_017357741	XM_017357741.2	XM_039647172.1	ENSDARG00000104119	KALRN	XM
XM_017357741	XM_017357741.2	XM_039647173.1	ENSDARG00000104119	KALRN	XM
XM_009304450	XM_009304450.3	XM_039647174.1	ENSDARG00000104119	KALRN	XM
XM_005168082	XM_005168082.4	XM_039647176.1	ENSDARG00000063197	golga2	XM
XM_005168082	XM_005168082.4	XM_039647177.1	ENSDARG00000063197	golga2	XM
XM_005168082	XM_005168082.4	XM_039647178.1	ENSDARG00000063197	golga2	XM
NM_001111185	NM_001111185.1	XM_039647179.1	ENSDARG00000057844	zgc:171470	NM
NM_199997	NM_199997.1	XM_039647180.1	ENSDARG00000070471	tarbp2	NM
NM_199997	NM_199997.1	XM_039647181.1	ENSDARG00000070471	tarbp2	NM
XM_009304432	XM_009304432.3	XM_039647184.1	ENSDARG00000063580	NA	XM
XM_009304432	XM_009304432.3	XM_039647185.1	ENSDARG00000063580	NA	XM
XM_009304433	XM_009304433.3	XM_039647186.1	ENSDARG00000063580	NA	XM
XM_009304434	XM_009304434.3	XM_039647187.1	ENSDARG00000063580	NA	XM
NM_182889	NM_182889.1	XM_039647188.1	ENSDARG00000042824	nfe2l2a	NM
NM_182889	NM_182889.1	XM_039647189.1	ENSDARG00000042824	nfe2l2a	NM
XM_001345159	XM_001345159.8	XM_039647190.1	ENSDARG00000012586	FMNL2	XM
XM_017357745	XM_017357745.2	XM_039647191.1	ENSDARG00000012586	FMNL2	XM
XM_001345159	XM_001345159.8	XM_039647192.1	ENSDARG00000012586	FMNL2	XM
XM_021478030	XM_021478030.1	XM_039647193.1	NA	NA	XM
XM_001345159	XM_001345159.8	XM_039647194.1	ENSDARG00000012586	FMNL2	XM
